Original Filenames,Parent Identifier,Call #,Title,Theater,Branch,Location,Size,Scanned,Comments,info:,New Filenames
20240419_0008_71st-Infantry_Division.tif,service_maps_0001,G5721.S7 1945 .A43,71st Infantry Division - World War II - Europe,EAME,,P-12 Left,Large,Y,,,service_maps_0001_0001.jp2
20240813_0012_Advance-of-the-XV-Corps.tif,service_maps_0002,G5831.S7 1944 .P65,"Advance of the XV Corps of the Third United States Army, Seine River to the Moselle River, 30 August to 15 September 1944",EAME,,P-12 Left,Medium,Y,,,service_maps_0002_0001.jp2
20240813_0013_IV-Corps-in-the-Italian-Campaign-1.tif,service_maps_0003,G6711.S7 1945 .U53,"With the IV Corps in the Italian campaign, June 1944-May 1945 : 325 days of continuous fighting",EAME,,P-12 Left,Medium,,,,service_maps_0003_0001.jp2
20240813_0013_IV-Corps-in-the-Italian-Campaign-2.tif,service_maps_0004,G6711.S7 1945 .U53,"With the IV Corps in the Italian campaign, June 1944-May 1945 : 325 days of continuous fighting",EAME,,P-12 Left,Medium,,,,service_maps_0004_0001.jp2
20240813_0013_IV-Corps-in-the-Italian-Campaign-3.tif,service_maps_0005,G6711.S7 1945 .U53,"With the IV Corps in the Italian campaign, June 1944-May 1945 : 325 days of continuous fighting",EAME,,P-12 Left,Medium,,,,service_maps_0005_0001.jp2
20240813_0014_XV-Corps-Saverne-Gap.tif,service_maps_0006,G5831.S7 1944 .U554,"Operations of the XV Corps of the Seventh United States Army in the break-through of the Saverne Gap and the capture of Strasbourg, 12 November to 4 December 1944",EAME,,P-12 Left,Medium,,,,service_maps_0006_0001.jp2
20240813_0015_III-Corps-Campaigns.tif,service_maps_0007,G5721.S7 1945 .B43,III Corps campaigns,EAME,,P-12 Left,Large,,,,service_maps_0007_0001.jp2
20240813_0010_XXI-Corps.tif,service_maps_0008,G6081.S7 1945 .A13,"XXI Corps : activated 6 December 1943, Camp Polk, LA. : England 11 November 1944 + France 27 December 1944 + Germany 23 March 1945",EAME,,P-12 Left,Large,,,,service_maps_0008_0001.jp2
20240813_0009_1st-BnFranceBelgiumHollandGermany.tif,service_maps_0009,G5721.S7 1945 .L36,"Route of the 1st Bn., France, Belgium, Holland, Germany",EAME,,P-12 Left,Medium,,,,service_maps_0009_0001.jp2
20240813_0003_90 Inf_Div.tif,service_maps_0010,G5721.S7 1945 .B38,Battle Route of the 90 Inf. Div. in the European Theater of Operations,EAME,,P-12 Left,Medium-Large,,,,service_maps_0010_0001.jp2
20240813_0037_84th-Infantry-Division.tif,service_maps_0011,G5721.S7 1945 .H37,"84th Infantry Division, from activation 15 Oct 42, to V-E Day, 9 May 45",EAME,,P-12 Left,Large,,,,service_maps_0011_0001.jp2
0010_66-Infantry-Regiment.tif,service_maps_0012,G5721.S7 1945 .S37,"66 Infantry Regiment with the 71st Infantry Division, European Theater of Operations",EAME,,P-12 Left,Medium-Long,^,,,service_maps_0012_0001.jp2
20240813_0036_88-Blue-Devil-Division.tif,service_maps_0013,G6713.F7 1946 .U54,"88 ""Blue Devil"" Division occupation force in Venezia-Giulia",EAME,,P-12 Left,Medium,,,,service_maps_0013_0001.jp2
20240422_0019_Blackhawks-in-WWII.tif,service_maps_0014,G6081.S7 1945 .F7,The fighting record of the Blackhawks in World War II,EAME,,P-12 Left,Medium,Y,,,service_maps_0014_0001.jp2
0022_78th-Inf-Division.tif,service_maps_0015,G6081.S7 1945 .U4,"78th Inf Division ""Lightning strikes twice""",EAME,,P-12 Left,Medium,^,,,service_maps_0015_0001.jp2
20240813_0027_355th-Infantry-Regiment.tif,service_maps_0016,G6081.S7 1945 .C37,"355th Infantry Regiment, Col. Jesse T. Harris, Commanding : march through Germany",EAME,,P-12 Left,Medium,,,,service_maps_0016_0001.jp2
20240813_0028_Odyssey of the Fourteenth Infantry Regt..tif,service_maps_0017,G5721.S7 1945 .K67,The odyssey of the Fourteenth Infantry Regt. from 7 February 45 to 8 May 45,EAME,,P-12 Left,Medium,,,,service_maps_0017_0001.jp2
20240813_0029_87th-Golden-Acorn-Division.tif,service_maps_0018,G5721.S7 1945 .R5,"Route of the Golden Acorn Division : France, Luxembourg, Belgium, Germany and Czechoslovakia",EAME,,P-12 Left,Medium,,,,service_maps_0018_0001.jp2
20240813_0030_1109th-Engr-Combat-Group.tif,service_maps_0019,G5721.S7 1945 .A135,"1109th Engr. Combat Group command posts, France - Germany, 17 June 1944 - 9 May 1945",EAME,,P-12 Left,Large,Y,,,service_maps_0019_0001.jp2
20240813_0031_1150-Engineer-Combat-Group.tif,service_maps_0020,G5721.S7 1945 .A138,"1150 Engineer Combat Group in the European Theater, 1945",EAME,,P-12 Left,Medium,,,,service_maps_0020_0001.jp2
0015_Timberwolves-a.tif | 0015_Timberwolves-b.tif,service_maps_0021,G5721.S7 1945 .L44,Touring Europe with the Timberwolves!,EAME,,P-12 Left,Medium,^,,,service_maps_0021_0001.jp2||service_maps_0021_0002.jp2
